[2026-03-07T21:14:57.733+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.762+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.763+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:57.803+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-07 21:14:37+00:00
[2026-03-07T21:14:57.817+0000] {standard_task_runner.py:60} INFO - Started process 587 to run task
[2026-03-07T21:14:57.831+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-07T21:14:37+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp7jipq253']
[2026-03-07T21:14:57.845+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask stream_processing
[2026-03-07T21:15:04.156+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-203CC490C707 latency_ms=0.19359588623046875 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:04.158+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim validated                claim_id=CLM-203CC490C707 errors=0 latency_ms=0.19 valid=True
[2026-03-07T21:15:04.177+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-203CC490C707.json
[2026-03-07T21:15:04.218+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-203CC490C707 latency_ms=0.2982616424560547 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:04.220+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim fraud scored             claim_id=CLM-203CC490C707 fraud_score=0.7186 risk_level=high rules=['high_amount', 'weekend_filing', 'late_filing', 'excessive_amount_for_type']
[2026-03-07T21:15:04.236+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-203CC490C707.json
[2026-03-07T21:15:04.264+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-203CC490C707 latency_ms=0.6241798400878906 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:15:04.266+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim enriched                 claim_id=CLM-203CC490C707 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.62
[2026-03-07T21:15:04.272+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-203CC490C707.json
[2026-03-07T21:15:04.295+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-203CC490C707 latency_ms=177.25634574890137 source=tx_enrichment target=sink_s3_datalake
