[2026-03-07T21:14:14.654+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.677+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.678+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:14.717+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-02 01:46:19+00:00
[2026-03-07T21:14:14.725+0000] {standard_task_runner.py:60} INFO - Started process 426 to run task
[2026-03-07T21:14:14.732+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-02T01:46:19+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp8n5ydu23']
[2026-03-07T21:14:14.736+0000] {standard_task_runner.py:88} INFO - Job 5: Subtask stream_processing
[2026-03-07T21:14:28.869+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-1D54BD80F59B.json
[2026-03-07T21:14:28.909+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-1D54BD80F59B latency_ms=237.08534240722656 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:14:28.941+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to PostgreSQL           claim_id=CLM-1D54BD80F59B
[2026-03-07T21:14:28.967+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-1D54BD80F59B latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:14:29.022+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-F184F6BE2D2D latency_ms=0.3223419189453125 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:29.025+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim validated                claim_id=CLM-F184F6BE2D2D errors=1 latency_ms=0.32 valid=False
[2026-03-07T21:14:29.049+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=rejected/2026/03/07/CLM-F184F6BE2D2D.json
[2026-03-07T21:14:29.109+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-14BF0EE00F9E latency_ms=0.11181831359863281 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:29.111+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim validated                claim_id=CLM-14BF0EE00F9E errors=0 latency_ms=0.11 valid=True
[2026-03-07T21:14:29.134+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-14BF0EE00F9E.json
[2026-03-07T21:14:29.164+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-14BF0EE00F9E latency_ms=0.2791881561279297 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:14:29.165+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim fraud scored             claim_id=CLM-14BF0EE00F9E fraud_score=0.1833 risk_level=low rules=['high_amount', 'weekend_filing', 'late_filing']
[2026-03-07T21:14:29.177+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-14BF0EE00F9E.json
[2026-03-07T21:14:29.230+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-14BF0EE00F9E latency_ms=0.45609474182128906 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:29.231+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim enriched                 claim_id=CLM-14BF0EE00F9E fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.46
[2026-03-07T21:14:29.246+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-14BF0EE00F9E.json
[2026-03-07T21:14:29.288+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-14BF0EE00F9E latency_ms=197.0219612121582 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:14:29.328+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to PostgreSQL           claim_id=CLM-14BF0EE00F9E
[2026-03-07T21:14:29.370+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-14BF0EE00F9E latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:14:29.411+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-4EE06A6D8753 latency_ms=0.5643367767333984 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:29.412+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim validated                claim_id=CLM-4EE06A6D8753 errors=0 latency_ms=0.56 valid=True
[2026-03-07T21:14:29.427+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-4EE06A6D8753.json
[2026-03-07T21:14:29.473+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-4EE06A6D8753 latency_ms=0.31638145446777344 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:14:29.474+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim fraud scored             claim_id=CLM-4EE06A6D8753 fraud_score=0.1948 risk_level=low rules=['high_amount', 'weekend_filing', 'late_filing']
[2026-03-07T21:14:29.487+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-4EE06A6D8753.json
[2026-03-07T21:14:29.515+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-4EE06A6D8753 latency_ms=0.35643577575683594 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:29.516+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim enriched                 claim_id=CLM-4EE06A6D8753 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.36
[2026-03-07T21:14:29.527+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-4EE06A6D8753.json
[2026-03-07T21:14:29.556+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-4EE06A6D8753 latency_ms=160.10189056396484 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:14:29.586+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to PostgreSQL           claim_id=CLM-4EE06A6D8753
[2026-03-07T21:14:29.615+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-4EE06A6D8753 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:14:29.646+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-DDA0B2E7A507 latency_ms=0.11515617370605469 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:29.647+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim validated                claim_id=CLM-DDA0B2E7A507 errors=0 latency_ms=0.12 valid=True
[2026-03-07T21:14:29.655+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-DDA0B2E7A507.json
